event,match_time,player_1,player_2,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Pzbuk,player_2_Pzbuk,player_1_Lvbet,player_2_Lvbet,player_1_Totolotek,player_2_Totolotek
"CHALLENGER MĘŻCZYŹNI - DEBEL: Oeiras 4 (Portugalia), ziemna - Ćwierćfinał",27-05-2021 17:50:00,Riccardo Bonadio / Nino Serdarusic,Nuno Borges / Francisco Cabral,0,,,0,,,, / , / ,289 / 298,275 / 1000,https://www.flashscore.pl/zawodnik/bonadio-riccardo/WSUTomlE / https://www.flashscore.pl/zawodnik/serdarusic-nino/OQnPhows,https://www.flashscore.pl/zawodnik/borges-nuno/hzbEPIOa / https://www.flashscore.pl/zawodnik/cabral-francisco/0b07lcun,2.32,1.57,2.25,1.55,2.29,1.56,2.34,1.58,2.4,1.5,2.2,1.56,2.14,1.6
"CHALLENGER MĘŻCZYŹNI - DEBEL: Oeiras 4 (Portugalia), ziemna - Ćwierćfinał",27-05-2021 18:45:00,Pedro Araujo / Fabio Coelho,Julian Lenz / Roberto Quiroz,0,,,0,,,, / , / ,991 / 1229,269 / 276,https://www.flashscore.pl/zawodnik/araujo-pedro/pWn0oS7f / https://www.flashscore.pl/zawodnik/coelho-fabio/ChvQPJnK,https://www.flashscore.pl/zawodnik/lenz-julian/OOSYhmDq / https://www.flashscore.pl/zawodnik/quiroz-roberto/Qc87KmFm,3.35,1.29,3.25,1.27,3.3,1.29,3.45,1.3,,,3.25,1.27,3.28,1.27
"ITF MĘŻCZYŹNI - SINGIEL: M15 Kouvola (Finlandia), twarda - 1/8-finału",27-05-2021 14:30:00,Joao Victor Couto Loureiro,Zsombor Velcz,0,,,0,,,,Bra,Hun,,1309,https://www.flashscore.pl/zawodnik/loureiro-joao-victor-couto/ALHnsNkp,https://www.flashscore.pl/zawodnik/zsombor-velcz/fcrdtbgr,3.35,1.26,3.35,1.27,3.3,1.25,3.36,1.26,3.45,1.25,3.45,1.25,,
"ITF MĘŻCZYŹNI - SINGIEL: M15 Kouvola (Finlandia), twarda - 1/8-finału",27-05-2021 14:40:00,Yannik Steinegger,Otto Virtanen,0,,,0,,,,Sui,Fin,1291,556,https://www.flashscore.pl/zawodnik/steinegger-yannik/ryXdbkxH,https://www.flashscore.pl/zawodnik/virtanen-otto/hnYnFaTm,5.4,1.1,5.5,1.1,5.2,1.1,5.48,1.1,6.0,1.1,5.3,1.11,,
"ITF MĘŻCZYŹNI - SINGIEL: M15 Monastir 14 (Tunezja), twarda - 1/8-finału",27-05-2021 13:50:00,Thomas John Fancutt,Seita Watanabe,0,,,0,,,,Aus,Jpn,592,1218,https://www.flashscore.pl/zawodnik/fancutt-thomas-john/d06Uhevq,https://www.flashscore.pl/zawodnik/watanabe-seita/IH1MWYjh,1.42,2.6,1.42,2.6,,,1.42,2.6,1.42,2.65,1.42,2.6,1.43,2.54
"ITF MĘŻCZYŹNI - SINGIEL: M15 Monastir 14 (Tunezja), twarda - 1/8-finału",27-05-2021 15:00:00,Arthur Bouquier,Roy Smith,0,,,0,,,,Fra,Usa,1049,552,https://www.flashscore.pl/zawodnik/bouquier-arthur/CUPnYxhl,https://www.flashscore.pl/zawodnik/smith-roy/OrMRzfWc,2.11,1.62,2.1,1.62,,,2.11,1.62,1.86,1.83,2.19,1.58,2.05,1.65
"ITF MĘŻCZYŹNI - SINGIEL: M25 Kiseljak (Bośnia i Hercegowina), ziemna - 1/8-finału",27-05-2021 15:30:00,Rrezart Cungu,Francesco Forti,0,,,0,,,,Mne,Ita,1706,421,https://www.flashscore.pl/zawodnik/cungu-rrezart/E9fdriHo,https://www.flashscore.pl/zawodnik/forti-francesco/MF7nWtCA,5.6,1.1,5.6,1.1,5.4,1.09,5.58,1.1,,,6.2,1.07,,
"ITF MĘŻCZYŹNI - SINGIEL: M25 Kiseljak (Bośnia i Hercegowina), ziemna - 1/8-finału",27-05-2021 17:30:00,Zsombor Piros,Sebastian Prechtel,0,,,0,,,,Hun,Ger,450,729,https://www.flashscore.pl/zawodnik/piros-zsombor/2BC3jj8o,https://www.flashscore.pl/zawodnik/prechtel-sebastian/C2JM2yu9,1.18,4.1,1.18,4.1,1.18,4.0,1.18,4.09,,,1.17,4.25,,
"ITF KOBIETY - SINGIEL: W15 Monastir 14 (Tunezja), twarda - 1/8-finału",27-05-2021 14:00:00,Ines Bekrar,Miharu Imanishi,0,,,0,,,,Alg,Jpn,,503,https://www.flashscore.pl/zawodnik/bekrar-ines/fTFxBSDD,https://www.flashscore.pl/zawodnik/imanishi-miharu/KCDllxA1,8.0,1.03,8.1,1.03,,,8.1,1.03,9.0,1.02,8.4,1.03,,
"ITF KOBIETY - SINGIEL: W15 Monastir 14 (Tunezja), twarda - 1/8-finału",27-05-2021 14:45:00,Alice Robbe,Chiraz Bechri,0,,,0,,,,Fra,Tun,728,906,https://www.flashscore.pl/zawodnik/robbe-alice/plF5itH8,https://www.flashscore.pl/zawodnik/bechri-chiraz/vuh74hwO,1.18,4.2,1.18,4.1,1.18,3.95,1.18,4.16,1.17,4.25,1.19,4.0,,
