event,match_time,player_1,player_2,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Pzbuk,player_2_Pzbuk,player_1_Lvbet,player_2_Lvbet,player_1_Totolotek,player_2_Totolotek
"ITF KOBIETY - SINGIEL: W100 Charleston, SC (USA), ziemna - 1/8-finału",06-05-2021 17:30:00,Claire Liu,Mayar Sherif,0,,,0,,,,Usa,Egy,172,123,https://www.flashscore.pl/zawodnik/liu-claire/8KHYNHRA,https://www.flashscore.pl/zawodnik/sherif-mayar/0QlxEb7i,1.58,2.35,1.55,2.3,1.53,2.24,1.54,2.27,1.54,2.3,1.54,2.25,1.55,2.23
"ITF KOBIETY - SINGIEL: W100 Charleston, SC (USA), ziemna - 1/8-finału",06-05-2021 17:30:00,Arina Rodionowa,Harriet Dart,0,,,0,,,,Aus,Gbr,168,150,https://www.flashscore.pl/zawodnik/rodionowa-arina/8hvtJI4d,https://www.flashscore.pl/zawodnik/dart-harriet/h6Lq4OGA,4.1,1.22,3.95,1.22,3.75,1.2,3.85,1.2,3.95,1.2,3.85,1.2,,
"ITF KOBIETY - SINGIEL: W100 Charleston, SC (USA), ziemna - 1/8-finału",06-05-2021 17:30:00,Storm Sanders,Katie Volynets,0,,,0,,,,Aus,Usa,166,316,https://www.flashscore.pl/zawodnik/sanders-storm/WEvLWEdN,https://www.flashscore.pl/zawodnik/volynets-katie/vw1oqIPi,1.29,3.5,1.27,3.4,1.26,3.25,1.27,3.33,1.26,3.4,1.25,3.45,1.26,3.34
"ITF KOBIETY - SINGIEL: W25 Naples, FL (USA), ziemna - 1/8-finału",06-05-2021 15:00:51,Vera Lapko,Alexandra Yepifanova,0,,,0,,,,Blr,Usa,333,1098,https://www.flashscore.pl/zawodnik/lapko-vera/j7muTr7s,https://www.flashscore.pl/zawodnik/yepifanova-alexandra/bBwU047I,,,,,,,,,,,,,,
"ITF KOBIETY - SINGIEL: W25 Naples, FL (USA), ziemna - 1/8-finału",06-05-2021 15:00:51,Yuriko Lily Miyazaki,Elvina Kalieva,0,,,0,,,,Jpn,Usa,327,1233,https://www.flashscore.pl/zawodnik/miyazaki-yuriko-lily/QPwVs83E,https://www.flashscore.pl/zawodnik/kalieva-elvina/8MpH36Na,,,,,,,,,,,,,,
"ITF KOBIETY - SINGIEL: W25 Naples, FL (USA), ziemna - 1/8-finału",06-05-2021 15:00:51,Marine Partaud,Panna Udvardy,0,,,0,,,,Fra,Hun,462,325,https://www.flashscore.pl/zawodnik/partaud-marine/I7tperP0,https://www.flashscore.pl/zawodnik/udvardy-panna/bLI5Djkk,,,,,,,,,,,,,,
"ITF KOBIETY - SINGIEL: W25 Naples, FL (USA), ziemna - 1/8-finału",06-05-2021 15:00:51,Katerina Stewart,Kayla Day,0,,,0,,,,Usa,Usa,306,530,https://www.flashscore.pl/zawodnik/stewart-katerina/lny0DhhQ,https://www.flashscore.pl/zawodnik/day-kayla/rkOojWt6,,,,,,,,,,,,,,
"ITF KOBIETY - SINGIEL: W25 Naples, FL (USA), ziemna - 1/8-finału",06-05-2021 15:15:00,Despina Papamichail,Irina Fetecau,0,,,0,,,,Gre,Rou,270,307,https://www.flashscore.pl/zawodnik/papamichail-despina/lEp5rDFG,https://www.flashscore.pl/zawodnik/fetecau-irina/88JkTZXP,,,,,,,,,,,,,,
"ITF KOBIETY - SINGIEL: W25 Naples, FL (USA), ziemna - 1/8-finału",06-05-2021 15:30:00,Jesika Maleckova,Andrea Lazaro Garcia,0,,,0,,,,Cze,Esp,298,283,https://www.flashscore.pl/zawodnik/maleckova-jesika/SYyGD8mf,https://www.flashscore.pl/zawodnik/lazaro-garcia-andrea/6gnFIFZS,,,,,,,,,,,,,,
"ITF KOBIETY - SINGIEL: W25 Naples, FL (USA), ziemna - 1/8-finału",06-05-2021 16:30:00,Ulrikke Eikeri,Hanna Chang,0,,,0,,,,Nor,Usa,255,309,https://www.flashscore.pl/zawodnik/eikeri-ulrikke/YTIjgkce,https://www.flashscore.pl/zawodnik/chang-hanna/ncuzeEss,1.85,1.82,1.85,1.8,1.83,1.8,1.94,1.74,1.86,1.83,1.85,1.83,,
