match_time,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,event,player_1,player_2,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Lvbet,player_2_Lvbet,player_1_Pzbuk,player_2_Pzbuk,player_1_Totolotek,player_2_Totolotek
2021-05-27 12:00:00,0,,,0,,,NA,"ATP - SINGIEL: Belgrade 2 (Serbia), ziemna - Ćwierćfinał",Alex Molcan,Fernando Verdasco,Svk,Esp,255,107,https://www.flashscore.pl/zawodnik/molcan-alex/drgiRTl7,https://www.flashscore.pl/zawodnik/verdasco-fernando/hfRTC1Nu,2.17,1.73,2.1,1.72,2.15,1.71,2.18,1.68,2.09,1.67,2.2,1.71,2,1.72
2021-05-27 14:00:00,0,,,0,,,NA,"ATP - SINGIEL: Belgrade 2 (Serbia), ziemna - Ćwierćfinał",Novak Djokovic,Federico Coria,Srb,Arg,1,96,https://www.flashscore.pl/zawodnik/djokovic-novak/AZg49Et9,https://www.flashscore.pl/zawodnik/coria-federico/vJdE1Bg7,1.02,25,1.01,14.25,1.01,16,1.01,17,1.01,11,1.01,18,1.01,11
2021-05-27 15:30:00,0,,,0,,,NA,"ATP - SINGIEL: Belgrade 2 (Serbia), ziemna - Ćwierćfinał",Andrej Martin,Dusan Lajovic,Svk,Srb,119,39,https://www.flashscore.pl/zawodnik/martin-andrej/UXiCkoiq,https://www.flashscore.pl/zawodnik/lajovic-dusan/bJf33z45,3.1,1.36,3.05,1.37,3.15,1.37,3.2,1.35,3,1.34,3.15,1.38,2.85,1.37
2021-05-27 17:00:00,0,,,0,,,NA,"ATP - SINGIEL: Belgrade 2 (Serbia), ziemna - Ćwierćfinał",Federico Delbonis,Roberto Carballes Baena,Arg,Esp,52,98,https://www.flashscore.pl/zawodnik/delbonis-federico/E10L2won,https://www.flashscore.pl/zawodnik/carballes-baena-roberto/hj8fIZPg,1.37,3,1.4,2.95,1.38,3.05,1.36,3.1,1.37,2.85,NA,NA,1.41,2.69
2021-05-27 10:30:00,0,,,0,,,NA,"ATP - SINGIEL: French Open (Francja) - Kwalifikacje, ziemna - Finał",Joao Menezes,Carlos Taberner,Bra,Esp,210,137,https://www.flashscore.pl/zawodnik/menezes-joao/GGshOstg,https://www.flashscore.pl/zawodnik/taberner-carlos/EcdVVulk,3.65,1.29,3.6,1.27,3.65,1.29,3.75,1.27,3.1,1.33,3.8,1.26,3.41,1.27
2021-05-27 10:30:00,0,,,0,,,NA,"ATP - SINGIEL: French Open (Francja) - Kwalifikacje, ziemna - Półfinał",Mohamed Safwat,Juan Manuel Cerundolo,Egy,Arg,162,147,https://www.flashscore.pl/zawodnik/safwat-mohamed/MDyQME8o,https://www.flashscore.pl/zawodnik/cerundolo-juan-manuel/A93TM7BR,4.9,1.18,4.75,1.18,4.9,1.18,5.1,1.17,3.9,1.22,5.25,1.16,4.28,1.18
2021-05-27 10:30:00,0,,,0,,,NA,"ATP - SINGIEL: French Open (Francja) - Kwalifikacje, ziemna - Półfinał",Juan Pablo Varillas,Henri Laaksonen,Per,Sui,130,150,https://www.flashscore.pl/zawodnik/varillas-juan-pablo/SdnbvebA,https://www.flashscore.pl/zawodnik/laaksonen-henri/zBpszmMu,1.41,2.9,1.4,2.85,1.41,2.9,1.39,2.98,1.41,2.7,1.4,2.95,1.39,2.77
2021-05-27 12:00:00,0,,,0,,,NA,"ATP - SINGIEL: French Open (Francja) - Kwalifikacje, ziemna - Finał",Jozef Kovalik,Roman Safiullin,Svk,Rus,127,181,https://www.flashscore.pl/zawodnik/kovalik-jozef/dAbTjNiB,https://www.flashscore.pl/zawodnik/safiullin-roman/IBpggNog,1.6,2.36,1.6,2.35,1.6,2.36,1.57,2.4,1.49,2.45,1.62,2.3,1.5,2.41
2021-05-27 12:00:00,0,,,0,,,NA,"ATP - SINGIEL: French Open (Francja) - Kwalifikacje, ziemna - Finał",Felipe Meligeni Rodrigues Alves,Maximilian Marterer,Bra,Ger,235,214,https://www.flashscore.pl/zawodnik/meligeni-rodrigues-alves-felipe/rLEXNv74,https://www.flashscore.pl/zawodnik/marterer-maximilian/S8iqjxWH,2.33,1.61,2.3,1.6,2.33,1.61,2.37,1.59,2.25,1.58,2.35,1.6,2.29,1.55
2021-05-27 12:00:00,0,,,0,,,NA,"ATP - SINGIEL: French Open (Francja) - Kwalifikacje, ziemna - Finał",Bernabe Zapata Miralles,Marc Polmans,Esp,Aus,128,149,https://www.flashscore.pl/zawodnik/zapata-miralles-bernabe/db9LlbLI,https://www.flashscore.pl/zawodnik/polmans-marc/2TDsBEcH,1.23,4.3,1.22,4.15,1.23,4.3,1.21,4.4,NA,NA,1.21,4.35,1.21,3.93
